pmcid,pmid,saved_path,source,format,status,notes
PMC8463881,34518230.0,downloaded_papers/PMC8463881.xml,PMC,xml,ok,
PMC9072346,35513694.0,downloaded_papers/PMC9072346.xml,PMC,xml,ok,
PMC8606575,34803160.0,downloaded_papers/PMC8606575.xml,PMC,xml,ok,
PMC8132511,33734487.0,downloaded_papers/PMC8132511.xml,PMC,xml,ok,
PMC8463881,34518230.0,downloaded_papers/PMC8463881.xml,PMC,xml,ok,
,34619096.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC8449346,34507999.0,downloaded_papers/PMC8449346.xml,PMC,xml,ok,
PMC10506314,37718409.0,downloaded_papers/PMC10506314.xml,PMC,xml,ok,
PMC9263407,35814288.0,downloaded_papers/PMC9263407.xml,PMC,xml,ok,
PMC9203276,35637409.0,downloaded_papers/PMC9203276.xml,PMC,xml,ok,
PMC7711917,32902612.0,downloaded_papers/PMC7711917.xml,PMC,xml,ok,
PMC7883308,33378662.0,downloaded_papers/PMC7883308.xml,PMC,xml,ok,
PMC8848662,35168652.0,downloaded_papers/PMC8848662.xml,PMC,xml,ok,
PMC8468108,34575858.0,downloaded_papers/PMC8468108.xml,PMC,xml,ok,
PMC8113516,33976150.0,downloaded_papers/PMC8113516.xml,PMC,xml,ok,
PMC7739187,33344732.0,downloaded_papers/PMC7739187.xml,PMC,xml,ok,
PMC7739187,33344732.0,downloaded_papers/PMC7739187.xml,PMC,xml,ok,
PMC7571453,32772088.0,downloaded_papers/PMC7571453.xml,PMC,xml,ok,
,30849655.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC7674943,33250783.0,downloaded_papers/PMC7674943.xml,PMC,xml,ok,
PMC7501055,32949999.0,downloaded_papers/PMC7501055.xml,PMC,xml,ok,
PMC7673481,33240529.0,downloaded_papers/PMC7673481.xml,PMC,xml,ok,
PMC8596487,32669713.0,downloaded_papers/PMC8596487.xml,PMC,xml,ok,
,32800293.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC8596487,32669713.0,downloaded_papers/PMC8596487.xml,PMC,xml,ok,
PMC7322553,32595139.0,downloaded_papers/PMC7322553.xml,PMC,xml,ok,
PMC5891938,29643944.0,downloaded_papers/PMC5891938.xml,PMC,xml,ok,
PMC6667736,31396047.0,downloaded_papers/PMC6667736.xml,PMC,xml,ok,
,31406382.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC7068803,31375526.0,downloaded_papers/PMC7068803.xml,PMC,xml,ok,
PMC8596487,32669713.0,downloaded_papers/PMC8596487.xml,PMC,xml,ok,
,31233251.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6993854,31633784.0,downloaded_papers/PMC6993854.xml,PMC,xml,ok,
,31145892.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6973314,31957537.0,downloaded_papers/PMC6973314.xml,PMC,xml,ok,
PMC6563950,31194736.0,downloaded_papers/PMC6563950.xml,PMC,xml,ok,
PMC7378053,32703964.0,downloaded_papers/PMC7378053.xml,PMC,xml,ok,
PMC6361378,29900695.0,downloaded_papers/PMC6361378.xml,PMC,xml,ok,
PMC5286880,27974560.0,downloaded_papers/PMC5286880.xml,PMC,xml,ok,
PMC7378053,32703964.0,downloaded_papers/PMC7378053.xml,PMC,xml,ok,
,30389858.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6092567,30135684.0,downloaded_papers/PMC6092567.xml,PMC,xml,ok,
PMC6238751,30385711.0,downloaded_papers/PMC6238751.xml,PMC,xml,ok,
PMC6916123,29993333.0,downloaded_papers/PMC6916123.xml,PMC,xml,ok,
PMC6410818,30787190.0,downloaded_papers/PMC6410818.xml,PMC,xml,ok,
PMC6336883,30655507.0,downloaded_papers/PMC6336883.xml,PMC,xml,ok,
PMC6604150,31262321.0,downloaded_papers/PMC6604150.xml,PMC,xml,ok,
PMC6205793,30373633.0,downloaded_papers/PMC6205793.xml,PMC,xml,ok,
PMC6306333,30448228.0,downloaded_papers/PMC6306333.xml,PMC,xml,ok,
PMC6550082,30952696.0,downloaded_papers/PMC6550082.xml,PMC,xml,ok,
PMC6302407,30572819.0,downloaded_papers/PMC6302407.xml,PMC,xml,ok,
PMC6154871,30100398.0,downloaded_papers/PMC6154871.xml,PMC,xml,ok,
PMC6326833,30033120.0,downloaded_papers/PMC6326833.xml,PMC,xml,ok,
PMC7116578,30651639.0,downloaded_papers/PMC7116578.xml,PMC,xml,ok,
PMC4107681,30455454.0,downloaded_papers/PMC4107681.xml,PMC,xml,ok,
PMC6326833,30033120.0,downloaded_papers/PMC6326833.xml,PMC,xml,ok,
PMC5992522,29748167.0,downloaded_papers/PMC5992522.xml,PMC,xml,ok,
PMC6067684,30063711.0,downloaded_papers/PMC6067684.xml,PMC,xml,ok,
PMC11785586,38402947.0,downloaded_papers/PMC11785586.xml,PMC,xml,ok,
PMC11785586,38402947.0,downloaded_papers/PMC11785586.xml,PMC,xml,ok,
PMC11785586,38402947.0,downloaded_papers/PMC11785586.xml,PMC,xml,ok,
PMC5992522,29748167.0,downloaded_papers/PMC5992522.xml,PMC,xml,ok,
PMC10985329,38566989.0,downloaded_papers/PMC10985329.xml,PMC,xml,ok,
,38127956.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10861470,38346980.0,downloaded_papers/PMC10861470.xml,PMC,xml,ok,
PMC10960817,38521877.0,downloaded_papers/PMC10960817.xml,PMC,xml,ok,
PMC10691776,38039359.0,downloaded_papers/PMC10691776.xml,PMC,xml,ok,
PMC10885870,38404366.0,downloaded_papers/PMC10885870.xml,PMC,xml,ok,
PMC11488584,39430245.0,downloaded_papers/PMC11488584.xml,PMC,xml,ok,
PMC10418709,37569800.0,downloaded_papers/PMC10418709.xml,PMC,xml,ok,
PMC11180965,37561875.0,downloaded_papers/PMC11180965.xml,PMC,xml,ok,
PMC10359315,37474547.0,downloaded_papers/PMC10359315.xml,PMC,xml,ok,
PMC10501909,37563227.0,downloaded_papers/PMC10501909.xml,PMC,xml,ok,
PMC10491779,37684223.0,downloaded_papers/PMC10491779.xml,PMC,xml,ok,
PMC10791636,38228612.0,downloaded_papers/PMC10791636.xml,PMC,xml,ok,
PMC10791636,38228612.0,downloaded_papers/PMC10791636.xml,PMC,xml,ok,
,38243114.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10584374,37737576.0,downloaded_papers/PMC10584374.xml,PMC,xml,ok,
PMC10791636,38228612.0,downloaded_papers/PMC10791636.xml,PMC,xml,ok,
PMC10020559,36928215.0,downloaded_papers/PMC10020559.xml,PMC,xml,ok,
PMC10110493,36607602.0,downloaded_papers/PMC10110493.xml,PMC,xml,ok,
PMC10104784,37024684.0,downloaded_papers/PMC10104784.xml,PMC,xml,ok,
PMC10110493,36607602.0,downloaded_papers/PMC10110493.xml,PMC,xml,ok,
PMC10104784,37024684.0,downloaded_papers/PMC10104784.xml,PMC,xml,ok,
PMC9946687,36599348.0,downloaded_papers/PMC9946687.xml,PMC,xml,ok,
PMC10104784,37024684.0,downloaded_papers/PMC10104784.xml,PMC,xml,ok,
PMC10166166,37155315.0,downloaded_papers/PMC10166166.xml,PMC,xml,ok,
,36127406.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
,36130519.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC10104784,37024684.0,downloaded_papers/PMC10104784.xml,PMC,xml,ok,
PMC9669397,36270280.0,downloaded_papers/PMC9669397.xml,PMC,xml,ok,
PMC9669397,36270280.0,downloaded_papers/PMC9669397.xml,PMC,xml,ok,
PMC9584334,36154271.0,downloaded_papers/PMC9584334.xml,PMC,xml,ok,
PMC10820817,38112206.0,downloaded_papers/PMC10820817.xml,PMC,xml,ok,
PMC11717366,39612469.0,downloaded_papers/PMC11717366.xml,PMC,xml,ok,
PMC11717366,39612469.0,downloaded_papers/PMC11717366.xml,PMC,xml,ok,
PMC8943056,35322081.0,downloaded_papers/PMC8943056.xml,PMC,xml,ok,
PMC10446824,37610425.0,downloaded_papers/PMC10446824.xml,PMC,xml,ok,
PMC9203278,35697783.0,downloaded_papers/PMC9203278.xml,PMC,xml,ok,
PMC9203278,35697783.0,downloaded_papers/PMC9203278.xml,PMC,xml,ok,
PMC9323019,35796428.0,downloaded_papers/PMC9323019.xml,PMC,xml,ok,
PMC10104784,37024684.0,downloaded_papers/PMC10104784.xml,PMC,xml,ok,
PMC8979981,35379811.0,downloaded_papers/PMC8979981.xml,PMC,xml,ok,
PMC8763053,34992147.0,downloaded_papers/PMC8763053.xml,PMC,xml,ok,
PMC8763053,34992147.0,downloaded_papers/PMC8763053.xml,PMC,xml,ok,
PMC9492781,36130949.0,downloaded_papers/PMC9492781.xml,PMC,xml,ok,
,33991488.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC8093761,33959635.0,downloaded_papers/PMC8093761.xml,PMC,xml,ok,
PMC7855285,32721520.0,downloaded_papers/PMC7855285.xml,PMC,xml,ok,
PMC8302681,34301937.0,downloaded_papers/PMC8302681.xml,PMC,xml,ok,
PMC8366450,34009729.0,downloaded_papers/PMC8366450.xml,PMC,xml,ok,
PMC10700137,38030723.0,downloaded_papers/PMC10700137.xml,PMC,xml,ok,
PMC8139321,34025588.0,downloaded_papers/PMC8139321.xml,PMC,xml,ok,
PMC8462886,34559564.0,downloaded_papers/PMC8462886.xml,PMC,xml,ok,
,31067460.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6505447,30989206.0,downloaded_papers/PMC6505447.xml,PMC,xml,ok,
PMC6734492,30299501.0,downloaded_papers/PMC6734492.xml,PMC,xml,ok,
PMC6561721,31031139.0,downloaded_papers/PMC6561721.xml,PMC,xml,ok,
PMC6450627,30951545.0,downloaded_papers/PMC6450627.xml,PMC,xml,ok,
PMC6501552,31110514.0,downloaded_papers/PMC6501552.xml,PMC,xml,ok,
PMC6541682,30972518.0,downloaded_papers/PMC6541682.xml,PMC,xml,ok,
PMC6450627,30951545.0,downloaded_papers/PMC6450627.xml,PMC,xml,ok,
PMC6664818,30606806.0,downloaded_papers/PMC6664818.xml,PMC,xml,ok,
PMC6404589,30521381.0,downloaded_papers/PMC6404589.xml,PMC,xml,ok,
,30312585.0,,,,failed,PMCID conversion failed; No OA via PMC/Europe PMC.
PMC6269440,29618777.0,downloaded_papers/PMC6269440.xml,PMC,xml,ok,
PMC6664818,30606806.0,downloaded_papers/PMC6664818.xml,PMC,xml,ok,
